OBJECTID,ID,2021 Period of Construction - 1961 to 1980 (Census),2021 Period of Construction - 1961 to 1980 (Census) (%),2021 Period of Construction - 1981 to 1990 (Census),2021 Period of Construction - 1981 to 1990 (Census) (%),2021 Period of Construction - 1991 to 2000 (Census),2021 Period of Construction - 1991 to 2000 (Census) (%),2021 Period of Construction - 2001 to 2005 (Census),2021 Period of Construction - 2001 to 2005 (Census) (%),2021 Period of Construction - 2006 to 2010 (Census),2021 Period of Construction - 2006 to 2010 (Census) (%),2021 Period of Construction - 2011 to 2016 (Census),2021 Period of Construction - 2011 to 2016 (Census) (%),2021 Period of Construction - 2016 to 2021 (Census),2021 Period of Construction - 2016 to 2021 (Census) (%),2021 Period of Construction - 1960 or Before (Census),2021 Period of Construction - 1960 or Before (Census) (%),2021 Housing: Apartment or Flat in Duplex (Census),2021 Housing: Apartment or Flat in Duplex (Census) (%),2021-2022 Total Population % Change,2022-2023 Current$ Household Average Income % Change,2022-2023 Total Population % Change,2023-2024 Current$ Household Average Income % Change,2023-2024 Total Population % Change,2024 Condominium Charges (Shelter),2024 Condominium Charges (Shelter) (Avg),2024 Condominium Status - In Condo,condo_ownership_pct,2024 Condominium Status - Not In Condo,2024 Condominium Status - Not In Condo (%),2024 Condominium Status - Total Households,2024 Female Household Population,2024 Female Household Population (%),2024 Financial Services,2024 Financial Services (Avg),2024 Household Aggregate Income (Current Year $),median_income,2024 Household Median Income (Current Year $),2024 Household Type - Total Households,disposable_income,2024 Household Disposable Aggregate Income,2024 Household Aggregate Income,2024 Labour Force - Labour Employment Rate,2024 Labour Force - Labour Participation Rate,2024 Labour Force - Labour Unemployment Rate,2024 Maintainers - 25 to 34,2024 Maintainers - 25 to 34 (%),2024 Maintainers - 35 to 44,2024 Maintainers - 35 to 44 (%),2024 Maintainers - 45 to 54,2024 Maintainers - 45 to 54 (%),2024 Maintainers - 55 to 64,2024 Maintainers - 55 to 64 (%),2024 Maintainers - Median Age,2024 Male Household Population,2024 Male Household Population (%),2024 Pop 15+: Divorced,2024 Pop 15+: Divorced (%),2024 Pop 15+: Living Common Law,2024 Pop 15+: Living Common Law (%),2024 Pop 15+: Married (And Not Separated),2024 Pop 15+: Married (And Not Separated) (%),2024 Pop 15+: Married or Living Common-Law,2024 Pop 15+: Married or Living Common-Law (%),2024 Pop 15+: Not Married or Common-Law,2024 Pop 15+: Not Married or Common-Law (%),2024 Pop 15+: Separated,2024 Pop 15+: Separated (%),2024 Pop 15+: Single (Never Legally Married),2024 Pop 15+: Single (Never Legally Married) (%),2024 Pop 15+: Widowed,2024 Pop 15+: Widowed (%),2024 Property Taxes (Shelter),2024 Property Taxes (Shelter) (Avg),2024 Regular Mortgage Payments (Shelter),2024 Regular Mortgage Payments (Shelter) (Avg),"2024 Structure Type Apartment, Building Five or More Story","2024 Structure Type Apartment, Building Five or More Story (%)","2024 Structure Type Apartment, Building Fewer Than Five Story","2024 Structure Type Apartment, Building Fewer Than Five Story (%)",2024 Structure Type Movable Dwelling,2024 Structure Type Movable Dwelling (%),2024 Structure Type Other Single-Attached House,2024 Structure Type Other Single-Attached House (%),2024 Structure Type Row House,2024 Structure Type Row House (%),2024 Structure Type Semi-Detached House,2024 Structure Type Semi-Detached House (%),2024 Structure Type Single-Detached House,2024 Structure Type Single-Detached House (%),"2024 Service Charges for Banks, Other Financial Institutions","2024 Service Charges for Banks, Other Financial Institutions (Avg)",2024 Tenure: Band Housing,2024 Tenure: Band Housing (%),2024 Tenure: Owned,2024 Tenure: Owned (%),2024 Tenure: Rented,2024 Tenure: Rented (%),2024 Tenure: Total Households,2024 Total Population,2024 Visible Minority Arab,2024 Visible Minority Arab (%),2024 Visible Minority Black,2024 Visible Minority Black (%),2024 Visible Minority Chinese,2024 Visible Minority Chinese (%),2024 Visible Minority Filipino,2024 Visible Minority Filipino (%),2024 Visible Minority Japanese,2024 Visible Minority Japanese (%),2024 Visible Minority Korean,2024 Visible Minority Korean (%),2024 Visible Minority Latin American,2024 Visible Minority Latin American (%),2024 Visible Minority South Asian,2024 Visible Minority South Asian (%),2024 Visible Minority Southeast Asian,2024 Visible Minority Southeast Asian (%),2024 Visible Minority Total Population,visible_minority_population_pct,2024 Visible Minority West Asian,2024 Visible Minority West Asian (%),2024-2025 Current$ Household Average Income % Change,2024-2025 Total Population % Change,2025-2026 Current$ Household Average Income % Change,2025-2026 Total Population % Change,2026-2027 Current$ Household Average Income % Change,2026-2027 Total Population % Change,FREQUENCY,mortgage_approvals,conversion_rate,Shape__Area,Shape__Length
712,A0A,453.0,2.44,3879.0,20.88,5424.0,29.2,2862.0,15.41,2000.0,10.77,918.0,4.94,1126.0,6.06,1476.0,7.95,888.0,4.78,0.7,3.6,0.7,0.5,-0.2,758552.99,39.08,168.0,0.87,19239.0,99.13,19407.0,21827.0,49.97,8707547.86,448.66,1739793003.41,1736258477.29,89465.76,1000898792.95,1352986784.45,68617.03,19407.0,86.7,50.3,13.3,1553.0,8.0,2362.0,12.17,3101.0,15.98,4481.0,23.09,60.8,21850.0,50.03,1847.0,4.8,2983.0,7.75,20461.0,53.13,23444.0,60.87,15069.0,39.13,858.0,2.23,8867.0,23.02,3497.0,9.08,18955951.87,976.71,74359497.8,3831.38,3557407.11,183.3,259.0,1.33,0.0,0.0,121.0,0.62,17.0,0.09,332.0,1.71,316.0,1.63,17906.0,92.27,0.0,0.0,16589.0,85.48,2817.0,14.52,19407.0,43953.0,17.0,0.04,48.0,0.11,4.0,0.01,20.0,0.05,13.0,0.03,14.0,0.03,5.0,0.01,128.0,0.29,9.0,0.02,275.0,0.63,5.0,0.01,1.4,-0.7,2.6,-0.5,3.1,0.2,99.0,3.0,3.03030303030303,10013215862.0,1920460.02322118
496,A0B,59.0,0.6,1863.0,19.08,3443.0,35.27,1717.0,17.59,1058.0,10.84,323.0,3.31,320.0,3.28,614.0,6.29,425.0,4.35,0.6,3.2,0.9,0.2,-0.7,365296.46,38.53,33.0,0.35,9447.0,99.65,9480.0,10535.0,49.34,4073652.84,429.71,767408209.5,767306861.6,80938.82,453348399.5,603900122.24,61688.62,9480.0,85.0,46.9,15.0,587.0,6.19,856.0,9.03,1343.0,14.17,2118.0,22.34,64.1,10819.0,50.66,927.0,4.81,1244.0,6.45,11310.0,58.64,12554.0,65.09,6732.0,34.91,382.0,1.98,3481.0,18.05,1942.0,10.07,7666771.8,808.73,27120509.5,2860.81,1497765.08,157.99,127.0,1.34,0.0,0.0,75.0,0.79,0.0,0.0,100.0,1.05,80.0,0.84,9042.0,95.38,0.0,0.0,8507.0,89.74,973.0,10.26,9480.0,21553.0,0.0,0.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.4,0.0,0.0,89.0,0.42,0.0,0.0,1.4,0.0,2.7,-0.2,3.0,0.3,21.0,0.0,0.0,9800422892.0,2008346.46506612
752,A0C,102.0,1.6,1644.0,25.75,1825.0,28.58,1098.0,17.2,748.0,11.71,303.0,4.75,299.0,4.68,267.0,4.18,201.0,3.15,-1.1,3.2,-1.1,0.2,-2.2,147485.7,25.92,41.0,0.72,5648.0,99.28,5689.0,6753.0,50.01,2558446.37,449.72,427910650.53,428076099.02,75246.96,267257517.48,349533438.07,58862.08,5689.0,79.9,47.0,20.1,336.0,5.91,527.0,9.26,816.0,14.34,1295.0,22.76,63.6,6749.0,49.99,590.0,4.85,970.0,7.97,6766.0,55.61,7736.0,63.58,4431.0,36.42,246.0,2.02,2262.0,18.59,1333.0,10.96,3213772.73,564.91,12202330.4,2144.9,801343.39,140.86,154.0,2.71,0.0,0.0,28.0,0.49,13.0,0.23,65.0,1.14,59.0,1.04,5277.0,92.76,0.0,0.0,4871.0,85.62,818.0,14.38,5689.0,13615.0,1.0,0.01,14.0,0.1,9.0,0.07,11.0,0.08,0.0,0.0,0.0,0.0,3.0,0.02,18.0,0.13,6.0,0.04,75.0,0.56,0.0,0.0,1.2,-0.8,2.4,-1.0,2.7,-1.1,5.0,0.0,0.0,6804895188.0,1311031.82999442
228,A0E,263.0,2.78,2173.0,22.94,3799.0,40.1,1433.0,15.13,946.0,9.99,211.0,2.23,303.0,3.2,372.0,3.93,236.0,2.49,-0.7,2.8,-1.0,-0.2,-1.7,266590.43,30.3,103.0,1.17,8696.0,98.83,8799.0,10156.0,49.93,3910197.5,444.39,783183712.94,784362319.8,89143.18,482717319.27,626297739.23,63315.02,8799.0,82.6,47.7,17.4,504.0,5.73,822.0,9.34,1314.0,14.93,1982.0,22.53,63.2,10185.0,50.07,781.0,4.27,1481.0,8.09,10293.0,56.24,11774.0,64.33,6528.0,35.67,312.0,1.7,3587.0,19.6,1849.0,10.1,5351341.46,608.18,16825906.33,1912.25,1377265.9,156.53,219.0,2.49,0.0,0.0,69.0,0.78,13.0,0.15,250.0,2.84,140.0,1.59,7839.0,89.09,0.0,0.0,7406.0,84.17,1393.0,15.83,8799.0,20608.0,0.0,0.0,27.0,0.13,0.0,0.0,30.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.29,0.0,0.0,115.0,0.57,0.0,0.0,0.8,-1.0,2.0,-1.3,2.4,-1.4,21.0,1.0,4.76190476190476,15493568142.0,2782744.13556063
1276,A0G,129.0,0.85,3156.0,20.84,5471.0,36.13,2709.0,17.89,1684.0,11.12,493.0,3.26,591.0,3.9,588.0,3.88,451.0,2.98,-0.3,3.2,-1.0,0.1,-1.1,374769.54,24.87,129.0,0.86,14943.0,99.14,15072.0,16799.0,50.11,7094148.56,470.68,1170732490.83,1170650523.66,77671.67,729946064.59,951827488.1,59360.81,15072.0,77.0,44.5,23.0,878.0,5.83,1327.0,8.8,2193.0,14.55,3505.0,23.26,63.7,16722.0,49.89,1293.0,4.3,2487.0,8.27,17855.0,59.4,20342.0,67.67,9717.0,32.33,595.0,1.98,4955.0,16.48,2874.0,9.56,8830610.21,585.9,33209301.16,2203.38,2158169.21,143.19,214.0,1.42,0.0,0.0,139.0,0.92,26.0,0.17,192.0,1.27,408.0,2.71,13962.0,92.64,0.0,0.0,12891.0,85.53,2181.0,14.47,15072.0,33961.0,2.0,0.01,66.0,0.2,9.0,0.03,11.0,0.03,0.0,0.0,0.0,0.0,7.0,0.02,15.0,0.04,6.0,0.02,127.0,0.38,0.0,0.0,1.2,-1.3,2.4,-1.1,2.8,-1.1,41.0,1.0,2.4390243902439,39483175602.0,4584322.26811334
1077,A0H,114.0,1.49,1903.0,24.83,2768.0,36.12,1047.0,13.66,817.0,10.66,332.0,4.33,333.0,4.34,262.0,3.42,201.0,2.62,-0.3,2.9,-0.6,-0.2,-1.1,187880.7,24.58,50.0,0.65,7380.0,96.56,7643.0,8672.0,50.38,3144126.19,411.37,562689830.41,562595904.42,73611.13,343099575.32,455609965.74,59177.1,7643.0,81.4,46.3,18.6,560.0,7.33,649.0,8.49,1201.0,15.71,1843.0,24.11,62.1,8541.0,49.62,649.0,4.19,1406.0,9.07,8756.0,56.5,10162.0,65.57,5335.0,34.42,236.0,1.52,2927.0,18.89,1523.0,9.83,4436766.05,580.5,15186216.77,1986.94,1072459.43,140.32,92.0,1.2,0.0,0.0,81.0,1.06,13.0,0.17,322.0,4.21,265.0,3.47,6760.0,88.45,213.0,2.79,6055.0,79.22,1375.0,17.99,7643.0,17391.0,0.0,0.0,46.0,0.27,25.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.03,31.0,0.18,0.0,0.0,108.0,0.63,0.0,0.0,0.9,-0.9,2.1,-1.0,2.8,-1.0,20.0,1.0,5.0,55007356066.0,4247135.9086969
376,A0J,85.0,2.49,570.0,16.67,1244.0,36.38,601.0,17.58,431.0,12.61,146.0,4.27,152.0,4.45,168.0,4.91,107.0,3.13,-0.1,3.1,-0.7,0.0,-1.2,84789.03,26.04,70.0,2.15,3186.0,97.85,3256.0,3737.0,50.19,1582484.51,486.02,268110409.89,268115998.33,82343.43,167961184.14,217145322.54,59543.35,3256.0,78.4,45.6,21.6,238.0,7.31,213.0,6.54,529.0,16.25,761.0,23.37,62.7,3709.0,49.81,329.0,4.9,421.0,6.27,4146.0,61.74,4567.0,68.01,2148.0,31.99,126.0,1.88,1093.0,16.28,600.0,8.94,1806431.86,554.8,7132526.9,2190.58,493048.38,151.43,102.0,3.13,0.0,0.0,35.0,1.07,0.0,0.0,185.0,5.68,65.0,2.0,2794.0,85.81,0.0,0.0,2581.0,79.27,675.0,20.73,3256.0,7658.0,0.0,0.0,0.0,0.0,19.0,0.26,11.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.19,0.0,0.0,44.0,0.59,0.0,0.0,1.2,-0.6,2.3,-0.9,2.7,-1.2,12.0,0.0,0.0,4564595256.0,1191991.15504306
27,A0K,88.0,0.8,1484.0,13.41,4481.0,40.49,2301.0,20.79,1501.0,13.56,325.0,2.94,337.0,3.04,348.0,3.14,291.0,2.63,-0.2,3.0,-0.5,-0.3,-1.0,310599.11,28.22,70.0,0.64,10937.0,99.36,11007.0,12405.0,49.98,5422283.76,492.62,952734169.22,952914713.26,86576.55,582871804.75,761785133.27,69135.55,11007.0,74.4,48.5,25.6,589.0,5.35,896.0,8.14,1710.0,15.54,2846.0,25.86,62.8,12417.0,50.03,780.0,3.49,2301.0,10.29,12693.0,56.78,14994.0,67.08,7359.0,32.92,321.0,1.44,4060.0,18.16,2197.0,9.83,7317455.04,664.8,25893463.38,2352.45,1881736.34,170.96,197.0,1.79,0.0,0.0,118.0,1.07,21.0,0.19,168.0,1.53,118.0,1.07,10295.0,93.53,0.0,0.0,9814.0,89.16,1193.0,10.84,11007.0,25091.0,0.0,0.0,30.0,0.12,47.0,0.19,128.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.63,0.0,0.0,387.0,1.56,0.0,0.0,0.9,-1.1,2.2,-1.0,2.7,-1.1,26.0,1.0,3.84615384615385,168750051704.0,11095466.8612973
1185,A0L,142.0,3.73,351.0,9.22,1475.0,38.76,650.0,17.08,513.0,13.48,188.0,4.94,234.0,6.15,198.0,5.2,197.0,5.18,0.6,3.3,0.7,0.3,-0.1,108788.16,27.51,36.0,0.91,3919.0,99.09,3955.0,4639.0,50.63,1947534.58,492.42,351437387.1,352428124.72,89110.22,204984394.07,275757953.04,74138.72,3955.0,85.0,51.3,15.0,320.0,8.09,514.0,13.0,590.0,14.92,923.0,23.34,60.2,4524.0,49.37,378.0,4.73,722.0,9.04,4521.0,56.6,5243.0,65.64,2744.0,34.36,156.0,1.95,1596.0,19.98,614.0,7.69,3253946.7,822.74,12367070.05,3126.95,790073.6,199.77,19.0,0.48,0.0,0.0,4.0,0.1,1.0,0.03,99.0,2.5,17.0,0.43,3649.0,92.26,0.0,0.0,3301.0,83.46,654.0,16.54,3955.0,9163.0,6.0,0.07,1.0,0.01,6.0,0.07,7.0,0.08,0.0,0.0,0.0,0.0,1.0,0.01,46.0,0.5,0.0,0.0,78.0,0.85,0.0,0.0,1.4,-0.1,2.4,-0.1,3.0,-0.3,12.0,0.0,0.0,3621960342.0,866749.578861083
918,A0M,72.0,3.58,619.0,30.8,836.0,41.59,282.0,14.03,146.0,7.26,16.0,0.8,34.0,1.69,58.0,2.89,19.0,0.95,-2.4,3.5,-2.3,0.3,-3.9,52295.17,29.31,39.0,2.19,1745.0,97.81,1784.0,2105.0,51.73,719518.72,403.32,139907675.1,139665888.58,78287.42,84989965.74,112849041.46,63202.91,1784.0,81.5,45.6,18.5,98.0,5.49,172.0,9.64,239.0,13.4,382.0,21.41,64.2,1964.0,48.27,135.0,3.66,284.0,7.7,2157.0,58.46,2440.0,66.12,1249.0,33.85,55.0,1.49,677.0,18.35,382.0,10.35,1163594.94,652.24,3169581.51,1776.67,256297.27,143.66,86.0,4.82,0.0,0.0,0.0,0.0,12.0,0.67,3.0,0.17,25.0,1.4,1588.0,89.01,0.0,0.0,1489.0,83.46,295.0,16.54,1784.0,4086.0,0.0,0.0,10.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.52,0.0,0.0,31.0,0.76,0.0,0.0,1.3,-1.5,2.5,-2.1,3.0,-1.8,5.0,0.0,0.0,8357910548.0,1082449.67291893
