zip_code,Geographic_Area,Geographic_Length,Population,Income,Median_Income,Age,Female_Population,Female_Population_Pct,Male_Population,Male_Population_Pct,Total_Household_Types,Young_Adult_Maintainers,Young_Adult_Maintainers_Pct,Middle_Age_Maintainers,Middle_Age_Maintainers_Pct,Mature_Maintainers,Mature_Maintainers_Pct,Senior_Maintainers,Senior_Maintainers_Pct,Homeownership,Homeownership_Pct,Rental_Units,Rental_Units_Pct,Band_Housing,Band_Housing_Pct,Households,African_American_Population,African_American_Population_Pct,Asian_Population,Asian_Population_Pct,Latin_American_Population,Latin_American_Population_Pct,Arab_Population,Arab_Population_Pct,Filipino_Population,Filipino_Population_Pct,South_Asian_Population,South_Asian_Population_Pct,Southeast_Asian_Population,Southeast_Asian_Population_Pct,Japanese_Population,Japanese_Population_Pct,Korean_Population,Korean_Population_Pct,West_Asian_Population,West_Asian_Population_Pct,Total_Minority_Population,Total_Minority_Population_Pct,Labor_Participation_Rate,Employment_Rate,Unemployment_Rate,Condo_Units,Condo_Ownership_Pct,Non_Condo_Units,Non_Condo_Pct,Total_Condo_Status_Households,Single_Detached_Houses,Single_Detached_House_Pct,Semi_Detached_Houses,Semi_Detached_House_Pct,Row_Houses,Row_House_Pct,Large_Apartments,Large_Apartment_Pct,Small_Apartments,Small_Apartment_Pct,Movable_Dwellings,Movable_Dwelling_Pct,Other_Single_Attached_Houses,Other_Attached_House_Pct,Duplex_Apartments,Duplex_Apt_Pct,Old_Housing_Pct,Housing_1961_1980_Pct,Housing_1981_1990_Pct,Housing_1991_2000_Pct,Housing_2001_2005_Pct,Housing_2006_2010_Pct,Housing_2011_2016_Pct,Housing_2016_2021_Pct,Old_Housing,Housing_1961_1980,Housing_1981_1990,Housing_1991_2000,Housing_2001_2005,Housing_2006_2010,Housing_2011_2016,Housing_2016_2021,Recent_Population_Change,Recent_Income_Change,Prior_Year_Population_Change,Prior_Year_Income_Change,Two_Year_Prior_Population_Change,Next_Year_Population_Change_Projection,Next_Year_Income_Change_Projection,Two_Year_Population_Change_Projection,Two_Year_Income_Change_Projection,Three_Year_Population_Change_Projection,Three_Year_Income_Change_Projection,Married_Population,Married_Population_Pct,Single_Population,Single_Population_Pct,Divorced_Population,Divorced_Population_Pct,Separated_Population,Separated_Population_Pct,Widowed_Population,Widowed_Population_Pct,Common_Law_Population,Common_Law_Population_Pct,Combined_Married_Population,Combined_Married_Population_Pct,Not_Married_Population,Not_Married_Population_Pct,Property_Tax_Total,Avg_Property_Tax,Mortgage_Payments_Total,Avg_Mortgage_Payment,Condo_Fees_Total,Avg_Condo_Fees,Total_Income,Current_Year_Total_Income,Discretionary_Income,Disposable_Income,Financial_Services_Total,Avg_Financial_Services,Bank_Service_Charges_Total,Avg_Bank_Service_Charges,Mortgage_Applications,Mortgage_Approvals,latitude,longitude
A0A,10013215862.0,1920460.02322118,43953.0,1736258477.29,89465.76,60.8,21827.0,49.97,21850.0,50.03,1000898792.95,1553.0,8.0,2362.0,12.17,3101.0,15.98,4481.0,23.09,16589.0,85.48,2817.0,14.52,0.0,0.0,19407.0,48.0,0.11,4.0,0.01,5.0,0.01,17.0,0.04,20.0,0.05,128.0,0.29,9.0,0.02,13.0,0.03,14.0,0.03,5.0,0.01,275.0,0.63,50.3,86.7,13.3,168.0,0.87,19239.0,99.13,19407.0,316.0,1.63,332.0,1.71,17.0,0.09,3557407.11,183.3,259.0,1.33,0.0,0.0,121.0,0.62,888.0,4.78,7.95,2.44,20.88,29.2,15.41,10.77,4.94,6.06,1476.0,453.0,3879.0,5424.0,2862.0,2000.0,918.0,1126.0,-0.2,0.5,0.7,3.6,0.7,-0.7,1.4,-0.5,2.6,0.2,3.1,20461.0,53.13,8867.0,23.02,1847.0,4.8,858.0,2.23,3497.0,9.08,2983.0,7.75,23444.0,60.87,15069.0,39.13,18955951.87,976.71,74359497.8,3831.38,758552.99,39.08,19407.0,1739793003.41,1352986784.45,68617.03,8707547.86,448.66,17906.0,92.27,99.0,3.0,9.2696287279367,9.592209373097992
A0B,9800422892.0,2008346.46506612,21553.0,767306861.6,80938.82,64.1,10535.0,49.34,10819.0,50.66,453348399.5,587.0,6.19,856.0,9.03,1343.0,14.17,2118.0,22.34,8507.0,89.74,973.0,10.26,0.0,0.0,9480.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.42,46.9,85.0,15.0,33.0,0.35,9447.0,99.65,9480.0,80.0,0.84,100.0,1.05,0.0,0.0,1497765.08,157.99,127.0,1.34,0.0,0.0,75.0,0.79,425.0,4.35,6.29,0.6,19.08,35.27,17.59,10.84,3.31,3.28,614.0,59.0,1863.0,3443.0,1717.0,1058.0,323.0,320.0,-0.7,0.2,0.9,3.2,0.6,0.0,1.4,-0.2,2.7,0.3,3.0,11310.0,58.64,3481.0,18.05,927.0,4.81,382.0,1.98,1942.0,10.07,1244.0,6.45,12554.0,65.09,6732.0,34.91,7666771.8,808.73,27120509.5,2860.81,365296.46,38.53,9480.0,767408209.5,603900122.24,61688.62,4073652.84,429.71,9042.0,95.38,21.0,0.0,9.263542300669506,9.62264150943396
A0C,6804895188.0,1311031.82999442,13615.0,428076099.02,75246.96,63.6,6753.0,50.01,6749.0,49.99,267257517.48,336.0,5.91,527.0,9.26,816.0,14.34,1295.0,22.76,4871.0,85.62,818.0,14.38,0.0,0.0,5689.0,14.0,0.1,9.0,0.07,3.0,0.02,1.0,0.01,11.0,0.08,18.0,0.13,6.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.56,47.0,79.9,20.1,41.0,0.72,5648.0,99.28,5689.0,59.0,1.04,65.0,1.14,13.0,0.23,801343.39,140.86,154.0,2.71,0.0,0.0,28.0,0.49,201.0,3.15,4.18,1.6,25.75,28.58,17.2,11.71,4.75,4.68,267.0,102.0,1644.0,1825.0,1098.0,748.0,303.0,299.0,-2.2,0.2,-1.1,3.2,-1.1,-0.8,1.2,-1.0,2.4,-1.1,2.7,6766.0,55.61,2262.0,18.59,590.0,4.85,246.0,2.02,1333.0,10.96,970.0,7.97,7736.0,63.58,4431.0,36.42,3213772.73,564.91,12202330.4,2144.9,147485.7,25.92,5689.0,427910650.53,349533438.07,58862.08,2558446.37,449.72,5277.0,92.76,5.0,0.0,9.13572732805843,9.446135118685332
A0E,15493568142.0,2782744.13556063,20608.0,784362319.8,89143.18,63.2,10156.0,49.93,10185.0,50.07,482717319.27,504.0,5.73,822.0,9.34,1314.0,14.93,1982.0,22.53,7406.0,84.17,1393.0,15.83,0.0,0.0,8799.0,27.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.15,58.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.57,47.7,82.6,17.4,103.0,1.17,8696.0,98.83,8799.0,140.0,1.59,250.0,2.84,13.0,0.15,1377265.9,156.53,219.0,2.49,0.0,0.0,69.0,0.78,236.0,2.49,3.93,2.78,22.94,40.1,15.13,9.99,2.23,3.2,372.0,263.0,2173.0,3799.0,1433.0,946.0,211.0,303.0,-1.7,-0.2,-1.0,2.8,-0.7,-1.0,0.8,-1.3,2.0,-1.4,2.4,10293.0,56.24,3587.0,19.6,781.0,4.27,312.0,1.7,1849.0,10.1,1481.0,8.09,11774.0,64.33,6528.0,35.67,5351341.46,608.18,16825906.33,1912.25,266590.43,30.3,8799.0,783183712.94,626297739.23,63315.02,3910197.5,444.39,7839.0,89.09,21.0,1.0,9.41570298234936,9.720024345709067
A0G,39483175602.0,4584322.26811334,33961.0,1170650523.66,77671.67,63.7,16799.0,50.11,16722.0,49.89,729946064.59,878.0,5.83,1327.0,8.8,2193.0,14.55,3505.0,23.26,12891.0,85.53,2181.0,14.47,0.0,0.0,15072.0,66.0,0.2,9.0,0.03,7.0,0.02,2.0,0.01,11.0,0.03,15.0,0.04,6.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.38,44.5,77.0,23.0,129.0,0.86,14943.0,99.14,15072.0,408.0,2.71,192.0,1.27,26.0,0.17,2158169.21,143.19,214.0,1.42,0.0,0.0,139.0,0.92,451.0,2.98,3.88,0.85,20.84,36.13,17.89,11.12,3.26,3.9,588.0,129.0,3156.0,5471.0,2709.0,1684.0,493.0,591.0,-1.1,0.1,-1.0,3.2,-0.3,-1.3,1.2,-1.1,2.4,-1.1,2.8,17855.0,59.4,4955.0,16.48,1293.0,4.3,595.0,1.98,2874.0,9.56,2487.0,8.27,20342.0,67.67,9717.0,32.33,8830610.21,585.9,33209301.16,2203.38,374769.54,24.87,15072.0,1170732490.83,951827488.1,59360.81,7094148.56,470.68,13962.0,92.64,41.0,1.0,9.610468654899574,9.85392574558734
A0H,55007356066.0,4247135.9086969,17391.0,562595904.42,73611.13,62.1,8672.0,50.38,8541.0,49.62,343099575.32,560.0,7.33,649.0,8.49,1201.0,15.71,1843.0,24.11,6055.0,79.22,1375.0,17.99,213.0,2.79,7643.0,46.0,0.27,25.0,0.15,5.0,0.03,0.0,0.0,0.0,0.0,31.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.63,46.3,81.4,18.6,50.0,0.65,7380.0,96.56,7643.0,265.0,3.47,322.0,4.21,13.0,0.17,1072459.43,140.32,92.0,1.2,0.0,0.0,81.0,1.06,201.0,2.62,3.42,1.49,24.83,36.12,13.66,10.66,4.33,4.34,262.0,114.0,1903.0,2768.0,1047.0,817.0,332.0,333.0,-1.1,-0.2,-0.6,2.9,-0.3,-0.9,0.9,-1.0,2.1,-1.0,2.8,8756.0,56.5,2927.0,18.89,649.0,4.19,236.0,1.52,1523.0,9.83,1406.0,9.07,10162.0,65.57,5335.0,34.42,4436766.05,580.5,15186216.77,1986.94,187880.7,24.58,7643.0,562689830.41,455609965.74,59177.1,3144126.19,411.37,6760.0,88.45,20.0,1.0,9.671332927571516,9.835666463785758
A0J,4564595256.0,1191991.15504306,7658.0,268115998.33,82343.43,62.7,3737.0,50.19,3709.0,49.81,167961184.14,238.0,7.31,213.0,6.54,529.0,16.25,761.0,23.37,2581.0,79.27,675.0,20.73,0.0,0.0,3256.0,0.0,0.0,19.0,0.26,0.0,0.0,0.0,0.0,11.0,0.15,14.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.59,45.6,78.4,21.6,70.0,2.15,3186.0,97.85,3256.0,65.0,2.0,185.0,5.68,0.0,0.0,493048.38,151.43,102.0,3.13,0.0,0.0,35.0,1.07,107.0,3.13,4.91,2.49,16.67,36.38,17.58,12.61,4.27,4.45,168.0,85.0,570.0,1244.0,601.0,431.0,146.0,152.0,-1.2,0.0,-0.7,3.1,-0.1,-0.6,1.2,-0.9,2.3,-1.2,2.7,4146.0,61.74,1093.0,16.28,329.0,4.9,126.0,1.88,600.0,8.94,421.0,6.27,4567.0,68.01,2148.0,31.99,1806431.86,554.8,7132526.9,2190.58,84789.03,26.04,3256.0,268110409.89,217145322.54,59543.35,1582484.51,486.02,2794.0,85.81,12.0,0.0,8.977480219111381,9.379184418746195
A0K,168750051704.0,11095466.8612973,25091.0,952914713.26,86576.55,62.8,12405.0,49.98,12417.0,50.03,582871804.75,589.0,5.35,896.0,8.14,1710.0,15.54,2846.0,25.86,9814.0,89.16,1193.0,10.84,0.0,0.0,11007.0,30.0,0.12,47.0,0.19,0.0,0.0,0.0,0.0,128.0,0.52,157.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,1.56,48.5,74.4,25.6,70.0,0.64,10937.0,99.36,11007.0,118.0,1.07,168.0,1.53,21.0,0.19,1881736.34,170.96,197.0,1.79,0.0,0.0,118.0,1.07,291.0,2.63,3.14,0.8,13.41,40.49,20.79,13.56,2.94,3.04,348.0,88.0,1484.0,4481.0,2301.0,1501.0,325.0,337.0,-1.0,-0.3,-0.5,3.0,-0.2,-1.1,0.9,-1.0,2.2,-1.1,2.7,12693.0,56.78,4060.0,18.16,780.0,3.49,321.0,1.44,2197.0,9.83,2301.0,10.29,14994.0,67.08,7359.0,32.92,7317455.04,664.8,25893463.38,2352.45,310599.11,28.22,11007.0,952734169.22,761785133.27,69135.55,5422283.76,492.62,10295.0,93.53,26.0,1.0,9.86609860012173,9.95739500912964
A0L,3621960342.0,866749.578861083,9163.0,352428124.72,89110.22,60.2,4639.0,50.63,4524.0,49.37,204984394.07,320.0,8.09,514.0,13.0,590.0,14.92,923.0,23.34,3301.0,83.46,654.0,16.54,0.0,0.0,3955.0,1.0,0.01,6.0,0.07,1.0,0.01,6.0,0.07,7.0,0.08,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.85,51.3,85.0,15.0,36.0,0.91,3919.0,99.09,3955.0,17.0,0.43,99.0,2.5,1.0,0.03,790073.6,199.77,19.0,0.48,0.0,0.0,4.0,0.1,197.0,5.18,5.2,3.73,9.22,38.76,17.08,13.48,4.94,6.15,198.0,142.0,351.0,1475.0,650.0,513.0,188.0,234.0,-0.1,0.3,0.7,3.3,0.6,-0.1,1.4,-0.1,2.4,-0.3,3.0,4521.0,56.6,1596.0,19.98,378.0,4.73,156.0,1.95,614.0,7.69,722.0,9.04,5243.0,65.64,2744.0,34.36,3253946.7,822.74,12367070.05,3126.95,108788.16,27.51,3955.0,351437387.1,275757953.04,74138.72,1947534.58,492.42,3649.0,92.26,12.0,0.0,8.861838101034692,9.190505173463176
A0M,8357910548.0,1082449.67291893,4086.0,139665888.58,78287.42,64.2,2105.0,51.73,1964.0,48.27,84989965.74,98.0,5.49,172.0,9.64,239.0,13.4,382.0,21.41,1489.0,83.46,295.0,16.54,0.0,0.0,1784.0,10.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.76,45.6,81.5,18.5,39.0,2.19,1745.0,97.81,1784.0,25.0,1.4,3.0,0.17,12.0,0.67,256297.27,143.66,86.0,4.82,0.0,0.0,0.0,0.0,19.0,0.95,2.89,3.58,30.8,41.59,14.03,7.26,0.8,1.69,58.0,72.0,619.0,836.0,282.0,146.0,16.0,34.0,-3.9,0.3,-2.3,3.5,-2.4,-1.5,1.3,-2.1,2.5,-1.8,3.0,2157.0,58.46,677.0,18.35,135.0,3.66,55.0,1.49,382.0,10.35,284.0,7.7,2440.0,66.12,1249.0,33.85,1163594.94,652.24,3169581.51,1776.67,52295.17,29.31,1784.0,139907675.1,112849041.46,63202.91,719518.72,403.32,1588.0,89.01,5.0,0.0,9.20876445526476,9.306147291539864
