OBJECTID,DESCRIPTION,ID,MP10104A_B,MP10104A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor,X14060_X,X14060_X_A,pointCount,MP10002A_B,MP10002A_B_P,X14068_X,X14068_X_A,MP10116A_B,MP10116A_B_P,name,address,locality,region,postcode,country,fsq_category,fsq_category_all,INDUSTRY_DESC,source,esri_pid,DESC_,LATITUDE,LONGITUDE,MP10128A_B,MP10128A_B_P,MP10138A_B,MP10138A_B_P,MP10020A_B,MP10020A_B_P,X14058_X,X14058_X_A,GENZ_CY,GENZ_CY_P,MP10028A_B,MP10028A_B_P,MP10110A_B,MP10110A_B_P,MP10120A_B,MP10120A_B_P,GENALPHACY,GENALPHACY_P
977,00041 (West Broward County),41,0,0.0,0.0,2577432500.0,223314.63194113693,1754588074696,Synapse54,1754588074696,Synapse54,0,0.0,0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
978,00042 (Southwest Brevard Cnty),42,13,10.16,10.16,574395000.0,196547.66228667853,1754588074696,Synapse54,1754588074696,Synapse54,3156602,50912.94,0,21,16.41,281045,4532.98,17,13.28,,,,,,,,,,,,,,,3,2.34,4,3.13,100,78.13,5698123,91905.21,27,16.67,7,5.47,22,17.19,8,6.25,20,12.35
979,00043 (Everglades),43,38,10.41,10.41,1822752353.5996096,458006.63636318047,1754588074696,Synapse54,1754588074696,Synapse54,4211295,40493.22,0,94,25.75,440007,4230.84,91,24.93,,,,,,,,,,,,,,,8,2.19,15,4.11,250,68.49,7078502,68062.52,183,34.33,25,6.85,83,22.74,32,8.77,47,8.82
980,00045 (Southeast Marion Cnty),45,0,0.0,0.0,357510000.0,84173.45361752891,1754588074696,Synapse54,1754588074696,Synapse54,23393,23393.0,0,0,0.0,2267,2267.0,1,33.33,,,,,,,,,,,,,,,0,0.0,0,0.0,2,66.67,30135,30135.0,1,16.67,0,0.0,0,0.0,0,0.0,2,33.33
981,00053 (Southwest Palm Beach Co),53,2,10.53,10.53,2292543750.0,294504.04788112955,1754588074696,Synapse54,1754588074696,Synapse54,114728,28682.0,0,4,21.05,12660,3165.0,4,21.05,,,,,,,,,,,,,,,1,5.26,1,5.26,13,68.42,175545,43886.25,5,18.52,1,5.26,4,21.05,2,10.53,5,18.52
982,00087 (NW Indian River County),87,0,0.0,0.0,324810000.0,93737.66839156058,1754588074696,Synapse54,1754588074696,Synapse54,0,0.0,0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
983,00097 (Everglades-Monroe County),97,2,8.33,8.33,1688073269.607422,499139.02814642503,1754588074696,Synapse54,1754588074696,Synapse54,164833,12679.46,0,5,20.83,23452,1804.0,5,20.83,,,,,,,,,,,,,,,0,0.0,0,0.0,12,50.0,208223,16017.15,11,35.48,2,8.33,4,16.67,2,8.33,4,12.9
984,00098 (Everglades-S Monroe Cnty),98,1,14.29,14.29,1107651490.3828125,1008825.7235698568,1754588074696,Synapse54,1754588074696,Synapse54,69961,13992.2,0,1,14.29,9954,1990.8,2,28.57,,,,,,,,,,,,,,,0,0.0,0,0.0,4,57.14,88377,17675.4,5,50.0,1,14.29,1,14.29,1,14.29,0,0.0
4,32003 (Fleming Island),32003,2625,11.1,11.1,55165000.0,43146.45444871945,1754588074696,Synapse54,1754588074696,Synapse54,460788578,40605.27,1,3665,15.49,43987093,3876.2,3893,16.46,H&R Block,3980 Southside Blvd,Jacksonville,FL,32216.0,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,594f9ef45d7af93248e7d1546417ad63,"H&R Block, 3980 Southside Blvd, Jacksonville, FL",30.27501011478398,-81.55995593225087,795,3.36,817,3.45,18650,78.83,775519802,68339.78,6586,22.34,1360,5.75,4503,19.03,1725,7.29,2349,7.97
9,32008 (Branford),32008,630,13.38,13.38,522930000.0,186304.20316408772,1754588074696,Synapse54,1754588074696,Synapse54,47795697,19374.02,1,378,8.03,4491286,1820.55,908,19.28,H&R Block,1605 E Sunrise Blvd,Fort Lauderdale,FL,33304.0,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,47c90a824c725805363f7e4946ac836b,"H&R Block, 1605 E Sunrise Blvd, Fort Lauderdale, FL",26.137720963144673,-80.12742378569135,153,3.25,81,1.72,2954,62.72,63257606,25641.51,1093,18.94,297,6.31,581,12.34,318,6.75,502,8.7
12,32009 (Bryceville),32009,291,11.08,11.08,313680000.0,95473.99688899332,1754588074696,Synapse54,1754588074696,Synapse54,33835301,27133.36,0,311,11.84,3442652,2760.75,541,20.6,H&R Block,2525 E Hillsborough Ave,Tampa,FL,33610.0,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,f05c39cb6357e040ae2f4a417ce5700e,"H&R Block, 2525 E Hillsborough Ave, Tampa, FL",27.99563361062164,-82.43245569584008,83,3.16,84,3.2,1926,73.34,50858382,40784.59,660,20.21,191,7.27,426,16.22,194,7.39,299,9.16
13,32011 (Callahan),32011,1436,11.3,11.3,556265000.0,171650.58419921156,1754588074696,Synapse54,1754588074696,Synapse54,151992774,25093.74,1,1473,11.59,15437040,2548.63,2670,21.0,H&R Block,2144 58th Ave,Vero Beach,FL,32966.0,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,ed87f4dda60d472e7da45a41fe27c3bb,"H&R Block, 2144 58th Ave, Vero Beach, FL",27.639934983081034,-80.44522053312437,407,3.2,391,3.08,9077,71.4,222000262,36651.85,3502,21.74,918,7.22,2017,15.87,961,7.56,1596,9.91
14,32013 (Day),32013,9,13.64,13.64,125421250.0,55197.04434867525,1754588074696,Synapse54,1754588074696,Synapse54,486248,18701.85,0,4,6.06,47119,1812.27,12,18.18,H&R Block,1007 E Commercial Blvd,Oakland Park,FL,33334.0,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,23ed53e5a663dde4737006bcdeabf240,"H&R Block, 1007 E Commercial Blvd, Oakland Park, FL",26.190985616826165,-80.1337627277308,2,3.03,1,1.52,39,59.09,626389,24091.88,6,8.7,4,6.06,8,12.12,4,6.06,3,4.35
