OBJECTID,ID,2021 Period of Construction - 1961 to 1980 (Census),2021 Period of Construction - 1961 to 1980 (Census) (%),2021 Period of Construction - 1981 to 1990 (Census),2021 Period of Construction - 1981 to 1990 (Census) (%),2021 Period of Construction - 1991 to 2000 (Census),2021 Period of Construction - 1991 to 2000 (Census) (%),2021 Period of Construction - 2001 to 2005 (Census),2021 Period of Construction - 2001 to 2005 (Census) (%),2021 Period of Construction - 2006 to 2010 (Census),2021 Period of Construction - 2006 to 2010 (Census) (%),2021 Period of Construction - 2011 to 2016 (Census),2021 Period of Construction - 2011 to 2016 (Census) (%),2021 Period of Construction - 2016 to 2021 (Census),2021 Period of Construction - 2016 to 2021 (Census) (%),2021 Period of Construction - 1960 or Before (Census),2021 Period of Construction - 1960 or Before (Census) (%),2021 Housing: Apartment or Flat in Duplex (Census),2021 Housing: Apartment or Flat in Duplex (Census) (%),2021-2022 Total Population % Change,2022-2023 Current$ Household Average Income % Change,2022-2023 Total Population % Change,2023-2024 Current$ Household Average Income % Change,2023-2024 Total Population % Change,2024 Condominium Charges (Shelter),2024 Condominium Charges (Shelter) (Avg),2024 Condominium Status - In Condo,2024 Condominium Status - In Condo (%),2024 Condominium Status - Not In Condo,2024 Condominium Status - Not In Condo (%),2024 Condominium Status - Total Households,2024 Female Household Population,2024 Female Household Population (%),2024 Financial Services,2024 Financial Services (Avg),2024 Household Aggregate Income (Current Year $),2024 Household Average Income (Current Year $),2024 Household Median Income (Current Year $),2024 Household Type - Total Households,2024 Household Discretionary Aggregate Income,2024 Household Disposable Aggregate Income,2024 Household Aggregate Income,2024 Labour Force - Labour Employment Rate,2024 Labour Force - Labour Participation Rate,2024 Labour Force - Labour Unemployment Rate,2024 Maintainers - 25 to 34,2024 Maintainers - 25 to 34 (%),2024 Maintainers - 35 to 44,2024 Maintainers - 35 to 44 (%),2024 Maintainers - 45 to 54,2024 Maintainers - 45 to 54 (%),2024 Maintainers - 55 to 64,2024 Maintainers - 55 to 64 (%),2024 Maintainers - Median Age,2024 Male Household Population,2024 Male Household Population (%),2024 Pop 15+: Divorced,2024 Pop 15+: Divorced (%),2024 Pop 15+: Living Common Law,2024 Pop 15+: Living Common Law (%),2024 Pop 15+: Married (And Not Separated),2024 Pop 15+: Married (And Not Separated) (%),2024 Pop 15+: Married or Living Common-Law,2024 Pop 15+: Married or Living Common-Law (%),2024 Pop 15+: Not Married or Common-Law,2024 Pop 15+: Not Married or Common-Law (%),2024 Pop 15+: Separated,2024 Pop 15+: Separated (%),2024 Pop 15+: Single (Never Legally Married),2024 Pop 15+: Single (Never Legally Married) (%),2024 Pop 15+: Widowed,2024 Pop 15+: Widowed (%),2024 Property Taxes (Shelter),2024 Property Taxes (Shelter) (Avg),2024 Regular Mortgage Payments (Shelter),2024 Regular Mortgage Payments (Shelter) (Avg),"2024 Structure Type Apartment, Building Five or More Story","2024 Structure Type Apartment, Building Five or More Story (%)","2024 Structure Type Apartment, Building Fewer Than Five Story","2024 Structure Type Apartment, Building Fewer Than Five Story (%)",2024 Structure Type Movable Dwelling,2024 Structure Type Movable Dwelling (%),2024 Structure Type Other Single-Attached House,2024 Structure Type Other Single-Attached House (%),2024 Structure Type Row House,2024 Structure Type Row House (%),2024 Structure Type Semi-Detached House,2024 Structure Type Semi-Detached House (%),2024 Structure Type Single-Detached House,2024 Structure Type Single-Detached House (%),"2024 Service Charges for Banks, Other Financial Institutions","2024 Service Charges for Banks, Other Financial Institutions (Avg)",2024 Tenure: Band Housing,2024 Tenure: Band Housing (%),2024 Tenure: Owned,2024 Tenure: Owned (%),2024 Tenure: Rented,2024 Tenure: Rented (%),2024 Tenure: Total Households,2024 Total Population,2024 Visible Minority Arab,2024 Visible Minority Arab (%),2024 Visible Minority Black,2024 Visible Minority Black (%),2024 Visible Minority Chinese,2024 Visible Minority Chinese (%),2024 Visible Minority Filipino,2024 Visible Minority Filipino (%),2024 Visible Minority Japanese,2024 Visible Minority Japanese (%),2024 Visible Minority Korean,2024 Visible Minority Korean (%),2024 Visible Minority Latin American,2024 Visible Minority Latin American (%),2024 Visible Minority South Asian,2024 Visible Minority South Asian (%),2024 Visible Minority Southeast Asian,2024 Visible Minority Southeast Asian (%),2024 Visible Minority Total Population,2024 Visible Minority Total Population (%),2024 Visible Minority West Asian,2024 Visible Minority West Asian (%),2024-2025 Current$ Household Average Income % Change,2024-2025 Total Population % Change,2025-2026 Current$ Household Average Income % Change,2025-2026 Total Population % Change,2026-2027 Current$ Household Average Income % Change,2026-2027 Total Population % Change,FREQUENCY,SUM_FUNDED,CONVERSION_RATE,Shape__Area,Shape__Length
712,A0A,453,2.44,3879,20.88,5424,29.2,2862,15.41,2000,10.77,918,4.94,1126,6.06,1476,7.95,888,4.78,0.7,3.6,0.7,0.5,-0.2,758552.99,39.08,168,0.87,19239,99.13,19407,21827,49.97,8707547.86,448.66,1739793003.41,1736258477.29,89465.76,1000898792.95,1352986784.45,68617.03,19407,86.7,50.3,13.3,1553,8,2362,12.17,3101,15.98,4481,23.09,60.8,21850,50.03,1847,4.8,2983,7.75,20461,53.13,23444,60.87,15069,39.13,858,2.23,8867,23.02,3497,9.08,18955951.87,976.71,74359497.8,3831.38,3557407.11,183.3,259,1.33,0,0,121,0.62,17,0.09,332,1.71,316,1.63,17906,92.27,0,0,16589,85.48,2817,14.52,19407,43953,17,0.04,48,0.11,4,0.01,20,0.05,13,0.03,14,0.03,5,0.01,128,0.29,9,0.02,275,0.63,5,0.01,1.4,-0.7,2.6,-0.5,3.1,0.2,99,3,3.03030303030303,10013215862,1920460.02322118
496,A0B,59,0.6,1863,19.08,3443,35.27,1717,17.59,1058,10.84,323,3.31,320,3.28,614,6.29,425,4.35,0.6,3.2,0.9,0.2,-0.7,365296.46,38.53,33,0.35,9447,99.65,9480,10535,49.34,4073652.84,429.71,767408209.5,767306861.6,80938.82,453348399.5,603900122.24,61688.62,9480,85,46.9,15,587,6.19,856,9.03,1343,14.17,2118,22.34,64.1,10819,50.66,927,4.81,1244,6.45,11310,58.64,12554,65.09,6732,34.91,382,1.98,3481,18.05,1942,10.07,7666771.8,808.73,27120509.5,2860.81,1497765.08,157.99,127,1.34,0,0,75,0.79,0,0,100,1.05,80,0.84,9042,95.38,0,0,8507,89.74,973,10.26,9480,21553,0,0,3,0.01,0,0,0,0,0,0,0,0,0,0,85,0.4,0,0,89,0.42,0,0,1.4,0,2.7,-0.2,3,0.3,21,0,0,9800422892,2008346.46506612
752,A0C,102,1.6,1644,25.75,1825,28.58,1098,17.2,748,11.71,303,4.75,299,4.68,267,4.18,201,3.15,-1.1,3.2,-1.1,0.2,-2.2,147485.7,25.92,41,0.72,5648,99.28,5689,6753,50.01,2558446.37,449.72,427910650.53,428076099.02,75246.96,267257517.48,349533438.07,58862.08,5689,79.9,47,20.1,336,5.91,527,9.26,816,14.34,1295,22.76,63.6,6749,49.99,590,4.85,970,7.97,6766,55.61,7736,63.58,4431,36.42,246,2.02,2262,18.59,1333,10.96,3213772.73,564.91,12202330.4,2144.9,801343.39,140.86,154,2.71,0,0,28,0.49,13,0.23,65,1.14,59,1.04,5277,92.76,0,0,4871,85.62,818,14.38,5689,13615,1,0.01,14,0.1,9,0.07,11,0.08,0,0,0,0,3,0.02,18,0.13,6,0.04,75,0.56,0,0,1.2,-0.8,2.4,-1,2.7,-1.1,5,0,0,6804895188,1311031.82999442
228,A0E,263,2.78,2173,22.94,3799,40.1,1433,15.13,946,9.99,211,2.23,303,3.2,372,3.93,236,2.49,-0.7,2.8,-1,-0.2,-1.7,266590.43,30.3,103,1.17,8696,98.83,8799,10156,49.93,3910197.5,444.39,783183712.94,784362319.8,89143.18,482717319.27,626297739.23,63315.02,8799,82.6,47.7,17.4,504,5.73,822,9.34,1314,14.93,1982,22.53,63.2,10185,50.07,781,4.27,1481,8.09,10293,56.24,11774,64.33,6528,35.67,312,1.7,3587,19.6,1849,10.1,5351341.46,608.18,16825906.33,1912.25,1377265.9,156.53,219,2.49,0,0,69,0.78,13,0.15,250,2.84,140,1.59,7839,89.09,0,0,7406,84.17,1393,15.83,8799,20608,0,0,27,0.13,0,0,30,0.15,0,0,0,0,0,0,58,0.29,0,0,115,0.57,0,0,0.8,-1,2,-1.3,2.4,-1.4,21,1,4.76190476190476,15493568142,2782744.13556063
1276,A0G,129,0.85,3156,20.84,5471,36.13,2709,17.89,1684,11.12,493,3.26,591,3.9,588,3.88,451,2.98,-0.3,3.2,-1,0.1,-1.1,374769.54,24.87,129,0.86,14943,99.14,15072,16799,50.11,7094148.56,470.68,1170732490.83,1170650523.66,77671.67,729946064.59,951827488.1,59360.81,15072,77,44.5,23,878,5.83,1327,8.8,2193,14.55,3505,23.26,63.7,16722,49.89,1293,4.3,2487,8.27,17855,59.4,20342,67.67,9717,32.33,595,1.98,4955,16.48,2874,9.56,8830610.21,585.9,33209301.16,2203.38,2158169.21,143.19,214,1.42,0,0,139,0.92,26,0.17,192,1.27,408,2.71,13962,92.64,0,0,12891,85.53,2181,14.47,15072,33961,2,0.01,66,0.2,9,0.03,11,0.03,0,0,0,0,7,0.02,15,0.04,6,0.02,127,0.38,0,0,1.2,-1.3,2.4,-1.1,2.8,-1.1,41,1,2.4390243902439,39483175602,4584322.26811334
1077,A0H,114,1.49,1903,24.83,2768,36.12,1047,13.66,817,10.66,332,4.33,333,4.34,262,3.42,201,2.62,-0.3,2.9,-0.6,-0.2,-1.1,187880.7,24.58,50,0.65,7380,96.56,7643,8672,50.38,3144126.19,411.37,562689830.41,562595904.42,73611.13,343099575.32,455609965.74,59177.1,7643,81.4,46.3,18.6,560,7.33,649,8.49,1201,15.71,1843,24.11,62.1,8541,49.62,649,4.19,1406,9.07,8756,56.5,10162,65.57,5335,34.42,236,1.52,2927,18.89,1523,9.83,4436766.05,580.5,15186216.77,1986.94,1072459.43,140.32,92,1.2,0,0,81,1.06,13,0.17,322,4.21,265,3.47,6760,88.45,213,2.79,6055,79.22,1375,17.99,7643,17391,0,0,46,0.27,25,0.15,0,0,0,0,0,0,5,0.03,31,0.18,0,0,108,0.63,0,0,0.9,-0.9,2.1,-1,2.8,-1,20,1,5,55007356066,4247135.9086969
376,A0J,85,2.49,570,16.67,1244,36.38,601,17.58,431,12.61,146,4.27,152,4.45,168,4.91,107,3.13,-0.1,3.1,-0.7,0,-1.2,84789.03,26.04,70,2.15,3186,97.85,3256,3737,50.19,1582484.51,486.02,268110409.89,268115998.33,82343.43,167961184.14,217145322.54,59543.35,3256,78.4,45.6,21.6,238,7.31,213,6.54,529,16.25,761,23.37,62.7,3709,49.81,329,4.9,421,6.27,4146,61.74,4567,68.01,2148,31.99,126,1.88,1093,16.28,600,8.94,1806431.86,554.8,7132526.9,2190.58,493048.38,151.43,102,3.13,0,0,35,1.07,0,0,185,5.68,65,2,2794,85.81,0,0,2581,79.27,675,20.73,3256,7658,0,0,0,0,19,0.26,11,0.15,0,0,0,0,0,0,14,0.19,0,0,44,0.59,0,0,1.2,-0.6,2.3,-0.9,2.7,-1.2,12,0,0,4564595256,1191991.15504306
27,A0K,88,0.8,1484,13.41,4481,40.49,2301,20.79,1501,13.56,325,2.94,337,3.04,348,3.14,291,2.63,-0.2,3,-0.5,-0.3,-1,310599.11,28.22,70,0.64,10937,99.36,11007,12405,49.98,5422283.76,492.62,952734169.22,952914713.26,86576.55,582871804.75,761785133.27,69135.55,11007,74.4,48.5,25.6,589,5.35,896,8.14,1710,15.54,2846,25.86,62.8,12417,50.03,780,3.49,2301,10.29,12693,56.78,14994,67.08,7359,32.92,321,1.44,4060,18.16,2197,9.83,7317455.04,664.8,25893463.38,2352.45,1881736.34,170.96,197,1.79,0,0,118,1.07,21,0.19,168,1.53,118,1.07,10295,93.53,0,0,9814,89.16,1193,10.84,11007,25091,0,0,30,0.12,47,0.19,128,0.52,0,0,0,0,0,0,157,0.63,0,0,387,1.56,0,0,0.9,-1.1,2.2,-1,2.7,-1.1,26,1,3.84615384615385,168750051704,11095466.8612973
1185,A0L,142,3.73,351,9.22,1475,38.76,650,17.08,513,13.48,188,4.94,234,6.15,198,5.2,197,5.18,0.6,3.3,0.7,0.3,-0.1,108788.16,27.51,36,0.91,3919,99.09,3955,4639,50.63,1947534.58,492.42,351437387.1,352428124.72,89110.22,204984394.07,275757953.04,74138.72,3955,85,51.3,15,320,8.09,514,13,590,14.92,923,23.34,60.2,4524,49.37,378,4.73,722,9.04,4521,56.6,5243,65.64,2744,34.36,156,1.95,1596,19.98,614,7.69,3253946.7,822.74,12367070.05,3126.95,790073.6,199.77,19,0.48,0,0,4,0.1,1,0.03,99,2.5,17,0.43,3649,92.26,0,0,3301,83.46,654,16.54,3955,9163,6,0.07,1,0.01,6,0.07,7,0.08,0,0,0,0,1,0.01,46,0.5,0,0,78,0.85,0,0,1.4,-0.1,2.4,-0.1,3,-0.3,12,0,0,3621960342,866749.578861083
918,A0M,72,3.58,619,30.8,836,41.59,282,14.03,146,7.26,16,0.8,34,1.69,58,2.89,19,0.95,-2.4,3.5,-2.3,0.3,-3.9,52295.17,29.31,39,2.19,1745,97.81,1784,2105,51.73,719518.72,403.32,139907675.1,139665888.58,78287.42,84989965.74,112849041.46,63202.91,1784,81.5,45.6,18.5,98,5.49,172,9.64,239,13.4,382,21.41,64.2,1964,48.27,135,3.66,284,7.7,2157,58.46,2440,66.12,1249,33.85,55,1.49,677,18.35,382,10.35,1163594.94,652.24,3169581.51,1776.67,256297.27,143.66,86,4.82,0,0,0,0,12,0.67,3,0.17,25,1.4,1588,89.01,0,0,1489,83.46,295,16.54,1784,4086,0,0,10,0.25,0,0,0,0,0,0,0,0,0,0,21,0.52,0,0,31,0.76,0,0,1.3,-1.5,2.5,-2.1,3,-1.8,5,0,0,8357910548,1082449.67291893
