OBJECTID,DESCRIPTION,ID,ECYHRIAVG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor,P5YHRIAGG,ECYPTAPOP,ECYCDOOWCO,ECYCDOOWCO_P,HSTE001,HSTE001_A,P5YHRIMED,ECYHNIMED,P5YHRIAVG,ECYCDOCO,ECYCDOCO_P,ECYHRIAGG,ECYMTN2534,ECYMTN2534_P,P5YTENRENT,P5YTENRENT_P,ECYMTN1524,ECYMTN1524_P,ECYHNIAVG,NAME,CREATED,MODIFIED,CREATOR,EDITOR,REGION,FLAGS,GEOID,GEONAME,GEOLEVEL,HIERARCHY,SYMBOL,SITE_METADATA,P0YTENRENT,P0YTENRENT_P,ECYHRIMED,P5YHNIMED,P0YTENHHD,P5YTENOWN,P5YTENOWN_P,P0YTENOWN,P0YTENOWN_P,ECYTENOWN,ECYTENOWN_P,P5YHNIAVG,ECYCDORECO,ECYCDORECO_P,ECYHNIAGG,P5YHNIAGG,ECYTENHHD,P5YTENHHD,ECYTENRENT,ECYTENRENT_P,OWNERSHIP_PCT_2023,OWNERSHIP_PCT_2028,OWNERSHIP_PCT_2033,OWNERSHIP_DELTA_23_28,OWNERSHIP_DELTA_28_33,OWNERSHIP_DELTA_23_33,RENTAL_PCT_2023,RENTAL_PCT_2028,RENTAL_PCT_2033,RENTAL_DELTA_23_28,RENTAL_DELTA_28_33,RENTAL_DELTA_23_33,TOTAL_HH_DELTA_23_28,TOTAL_HH_DELTA_28_33,TOTAL_HH_DELTA_23_33,INCOME_AVG_CONS_DELTA_23_28,INCOME_MED_CONS_DELTA_23_28,INCOME_AGG_CONS_DELTA_23_28,INCOME_AVG_CURR_DELTA_23_28,INCOME_MED_CURR_DELTA_23_28,INCOME_AGG_CURR_DELTA_23_28,HOT_GROWTH_INDEX,YOUNG_MAINTAINERS_PCT,RENTAL_MARKET_PCT,NEW_HOMEOWNER_INDEX,HOUSING_AFFORDABILITY_INDEX,RELATIVE_INCOME_AVG,RELATIVE_INCOME_MED
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,98108.45,98108.45,72760823790.5,3028971.212854449,1753801739027,Synapse54,1753801739027,Synapse54,4313646992.36,89684,1294,3.34,4149372468.63,106992.22,87377.3,93644.25,106276.36,2227,5.74,3804853238.42,4927,12.7,8008,19.73,619,1.6,112985.29,Quebec / Québec,1753797709090.0,1753797709090.0,Synapse54,Synapse54,CA,2.0,24.0,Quebec / Québec,CAN.PR,census,"{""type"":""esriSFS"",""color"":[105,134,68,140],""outline"":{""type"":""esriSLS"",""color"":[105,134,68,255],""width"":1.5,""style"":""esriSLSSolid""},""style"":""esriSFSSolid""}",,8725,20.59,81471.43,111789.91,42384,32001,78.84,33072,78.03,30906,79.69,136040.64,933,2.41,4381808626.33,5521748128.66,38782,40589,7308,18.84,79.69160950956629,78.84155805760182,78.02944507361268,-0.8500514519644753,-0.8121129839891381,-1.6621644359536134,18.843793512454234,19.72948335755993,20.585598338995847,0.8856898451056949,0.856114981435919,1.741804826541614,4.65937806198752,4.4223804479046045,9.287813934299418,8.325388893617221,7.249007412782629,13.372230728964485,20.405620944106992,19.37722818005377,26.015273590000675,49.0809115647719,14.300448661750295,18.843793512454234,13.872165333272823,55.357822379589294,54.2846305836838,56.96761007344755
2,"G0C (New Richmond, QC)",G0C,74241.17,74241.17,22075337398.492188,967680.4043130332,1753801739027,Synapse54,1753801739027,Synapse54,1794030214.54,48426,250,1.09,1784955993.08,77796.2,61273.93,66848.96,78840.54,939,4.09,1703402065.54,2002,8.73,6573,28.89,490,2.14,85498.85,,,,,,,,,,,,,,6697,30.02,58087.26,78305.14,22306,15492,68.08,14861,66.62,15979,69.64,100921.0,689,3.0,1961700332.96,2296475116.67,22944,22755,6357,27.71,69.64347977684798,68.08174027686222,66.6233300457276,-1.5617394999857623,-1.4584102311346214,-3.0201497311203838,27.706589958158993,28.885959129861572,30.023312113332736,1.1793691717025787,1.137352983471164,2.3167221551737427,-0.8237447698744771,-1.973192704900022,-2.7806834030683403,6.1951744564370355,5.486005020722269,5.320420283232997,18.037844953470124,17.137409467551915,17.065541463453798,41.67649533158356,10.861227336122733,27.706589958158993,13.567298579884884,40.89377938052385,41.078566500138045,40.61659870110255
3,"G0E (Grande-Vallee, QC)",G0E,65581.59,65581.59,17330251329.5,625766.1683453334,1753801739027,Synapse54,1753801739027,Synapse54,166921299.67,4749,43,1.77,170144325.77,70047.07,55386.68,59523.46,69920.74,94,3.87,159296238.13,115,4.73,517,21.66,23,0.95,75526.17,,,,,,,,,,,,,,564,24.33,52597.15,70878.32,2318,1871,78.38,1754,75.67,1965,80.9,89503.08,51,2.1,183451393.95,213670097.66,2429,2387,464,19.1,80.8974886784685,78.38290741516548,75.66867989646246,-2.514581263303029,-2.7142275187030123,-5.228808782006041,19.102511321531495,21.658986175115206,24.331320103537532,2.556474853583712,2.6723339284223258,5.228808782006038,-1.729106628242075,-2.8906577293674065,-4.569781803211198,6.61641475908103,5.303576334459184,4.7867178971152216,18.506048962895914,19.07627681589748,16.472321664798127,35.07090569296706,5.681350349938246,19.102511321531495,10.419634115707243,36.48335805988237,36.28711274350591,36.77772603444707
4,"G0G (Fermont, QC)",G0G,102352.34,102352.34,488246740388.7383,13452850.295035336,1753801739027,Synapse54,1753801739027,Synapse54,747046775.84,17630,152,2.17,721064286.54,102876.91,89545.15,98899.94,108217.16,314,4.48,717388084.6,929,13.25,1638,23.73,197,2.81,117872.71,,,,,,,,,,,,,,1715,25.85,85167.36,114598.73,6635,4588,66.46,4288,64.63,4780,68.2,138524.99,162,2.31,826170446.16,956268360.37,7009,6903,1503,21.44,68.19803110286774,66.46385629436476,64.62697814619443,-1.7341748085029849,-1.836878148170328,-3.571052956673313,21.443857896989584,23.728813559322035,25.84777694046722,2.2849556623324503,2.1189633811451856,4.403919043477636,-1.5123412755029249,-3.882369984064899,-5.335996575831074,5.730030207418812,5.14022038489862,4.134260364323873,17.520832430169786,15.873407001055808,15.7471033749378,39.142833979025355,16.065059209587673,21.443857896989584,13.65345330601824,57.8004690417455,56.63282791926285,59.55193072546946
5,"G0H (Pessamit, QC)",G0H,82065.87,82065.87,123893631441.5,3217405.6747955983,1753801739027,Synapse54,1753801739027,Synapse54,406654936.51,10572,36,0.75,415521612.75,86011.51,67267.15,76481.16,86289.39,102,2.11,396458724.89,439,9.09,701,14.87,88,1.82,94510.07,,,,,,,,,,,,,,710,15.78,65537.71,85955.78,4498,3451,73.22,3198,71.1,3640,75.35,110456.02,66,1.37,456576417.47,520544712.81,4831,4713,673,13.93,75.34671910577521,73.22300021217907,71.09826589595376,-2.123718893596134,-2.1247343162253145,-4.248453209821449,13.930863175326019,14.873753447910035,15.784793241440639,0.942890272584016,0.9110397935306036,1.8539300661146196,-2.4425584765058996,-4.561850201570125,-6.892982819292072,5.146500000548345,2.6388471614281115,2.5718217256611036,16.872223245628742,12.388175074750428,14.010424737761035,37.9021475717416,10.908714551852619,13.930863175326019,10.014747561789187,45.5753256907087,45.408070726615485,45.82620813684853
6,"G0J (Causapscal, QC)",G0J,66398.27,66398.27,30795263589.0,1187342.219615261,1753801739027,Synapse54,1753801739027,Synapse54,974186308.29,29197,153,1.1,1012689712.7,72740.25,55753.32,60364.98,70787.96,464,3.33,924390183.52,1170,8.4,2947,21.41,222,1.59,76466.68,,,,,,,,,,,,,,3067,22.82,53242.34,70697.64,13438,10815,78.59,10370,77.17,11146,80.06,90613.19,311,2.23,1064561660.16,1247021704.4,13922,13762,2775,19.93,80.0603361585979,78.58596134282809,77.16922161035869,-1.4743748157698207,-1.416739732469395,-2.8911145482392158,19.932480965378538,21.414038657171922,22.823336806072334,1.481557691793384,1.4092981489004117,2.8908558406937956,-1.1492601637695732,-2.3543089667199535,-3.4765119954029595,6.611151164028825,4.716133813803081,5.386916224097115,18.50022781164294,17.116977426315714,17.139452891115486,41.50747010396444,9.998563424795288,19.932480965378538,11.790749697136963,36.934941170669106,36.73899198637523,37.22886494710992
7,"G0K (Sainte-Luce, QC)",G0K,76743.5,76743.5,8964482448.5,530269.0600895187,1753801739027,Synapse54,1753801739027,Synapse54,471688058.94,12042,75,1.29,488301276.77,84088.39,65864.81,73086.1,81145.72,193,3.32,445632720.77,564,9.71,1192,20.51,118,2.03,88380.63,,,,,,,,,,,,,,1261,21.9,62993.78,83713.65,5758,4621,79.49,4497,78.1,4714,81.18,103871.79,118,2.03,513206995.82,603791330.48,5807,5813,1093,18.82,81.17788875495093,79.494237054877,78.10003473428274,-1.6836517000739235,-1.3942023205942604,-3.077854020668184,18.82211124504908,20.505762945123,21.899965265717263,1.68365170007392,1.394202320594264,3.077854020668184,0.10332357499569485,-0.9461551694477894,-0.8438091957981746,5.736277339448946,4.55764045275581,5.8468189061565115,17.527777296903167,14.541137097204512,17.650642995476858,41.817220014818005,11.74444635784398,18.82211124504908,11.747824286701645,43.096844275946815,42.463136938754396,44.04740528173544
8,"G0L (Trois-Pistoles, QC)",G0L,76291.39,76291.39,23226305480.5,1017338.6635460304,1753801739027,Synapse54,1753801739027,Synapse54,2267002326.29,62143,325,1.16,2306293008.13,82579.96,64040.05,70288.12,81309.68,917,3.28,2130656255.77,2880,10.31,6495,23.3,611,2.19,87859.96,,,,,,,,,,,,,,6796,24.73,60999.02,81763.02,27481,21386,76.7,20686,75.27,21836,78.19,104081.67,592,2.12,2453741938.48,2901910118.13,27928,27881,6092,21.81,78.18676596963621,76.70456583336322,75.2738255521997,-1.4822001362729935,-1.4307402811635228,-2.9129404174365163,21.813234030363795,23.295434166636777,24.729813325570394,1.4822001362729829,1.4343791589336163,2.916579295206599,-0.16828988828415928,-1.4346687708475307,-1.6005442566599828,6.577793378781005,4.985375174879869,6.3992523501040175,18.463142937920743,16.325518451766825,18.264682712625568,42.19515157857261,12.5,21.813234030363795,12.945483198749052,42.38882764643673,42.212978829710885,42.6526008715255
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,78587.09,78587.09,6354665678.5,678703.1375911924,1753801739027,Synapse54,1753801739027,Synapse54,1312706184.88,35675,218,1.4,1344964213.16,86426.18,67598.01,74531.77,83737.26,684,4.4,1222976956.93,1978,12.71,3316,21.15,354,2.27,90503.77,,,,,,,,,,,,,,3482,22.26,64143.08,86295.61,15640,12361,78.85,12159,77.74,12451,80.01,107189.13,466,2.99,1408425146.44,1680349118.28,15562,15676,3111,19.99,80.00899627297262,78.8530237305435,77.74296675191816,-1.1559725424291258,-1.1100569786253374,-2.266029521054463,19.991003727027373,21.15335544781832,22.263427109974423,1.162351720790948,1.110071662156102,2.27242338294705,0.7325536563423725,-0.22965042102577188,0.5012209227605706,6.553455535762934,5.386286408448102,7.336951644227578,18.43609387763626,15.783658431833828,19.306952345130117,44.567606138340075,14.98522040868783,19.991003727027373,13.377815018077067,44.03034504385644,43.48321830888891,44.85103514630776
10,"G0N (Disraeli, QC)",G0N,74808.16,74808.16,3579667597.5,610336.508657239,1753801739027,Synapse54,1753801739027,Synapse54,756684988.97,20873,144,1.53,777637809.35,82394.34,64689.67,71316.0,79858.54,425,4.5,706023739.42,990,10.49,2059,21.73,143,1.52,86151.82,,,,,,,,,,,,,,2212,23.33,61272.99,82909.37,9481,7417,78.28,7270,76.68,7538,79.87,102224.11,281,2.98,813082849.19,968605898.74,9438,9475,1900,20.13,79.86861623225259,78.2796833773087,76.67967513975319,-1.5889328549438915,-1.6000082375555138,-3.1889410924994053,20.131383767747405,21.730870712401053,23.330872270857505,1.5994869446536484,1.6000015584564515,3.1994885031101,0.39203221021402834,0.0633245382585752,0.45560500105954654,6.751108435229512,5.576160066613365,7.175573103479269,18.655775351002443,16.25633798867014,19.127577184161897,41.92206033669953,12.004662004662006,20.131383767747405,12.612687354636357,41.97304151467405,41.39228914782684,42.84417006494487
